                    Element nb,             Integration Point,                          Time,                        Stress,                  Total Strain,          Visco-plastic Strain,Equivalent viscoplastic Strain,                   Back Stress,                  Yield Stress,
                             1,                             2,                3.60000000E+00,                9.09248965E+00,                1.78399181E-02,                8.74742848E-03,                8.74742848E-03,                0.00000000E+00,                1.36447619E+00,
                             1,                             2,                3.80000000E+00,                9.28550919E+00,                1.88217542E-02,                9.53624505E-03,                9.53624505E-03,                0.00000000E+00,                1.36447619E+00,
                             1,                             1,                3.80000000E+00,                9.28550919E+00,                1.88217542E-02,                9.53624505E-03,                9.53624505E-03,                0.00000000E+00,                1.39734354E+00,
                             1,                             1,                4.00000000E+00,                9.46314856E+00,                1.98026273E-02,                1.03394787E-02,                1.03394787E-02,                0.00000000E+00,                1.39734354E+00,
                             1,                             2,                3.80000000E+00,                9.28550919E+00,                1.88217542E-02,                9.53624505E-03,                9.53624505E-03,                0.00000000E+00,                1.39734354E+00,
                             1,                             2,                4.00000000E+00,                9.46314856E+00,                1.98026273E-02,                1.03394787E-02,                1.03394787E-02,                0.00000000E+00,                1.39734354E+00,
                             1,                             1,                3.80000000E+00,                9.28550919E+00,                1.88217542E-02,                9.53624505E-03,                9.53624505E-03,                0.00000000E+00,                1.39734354E+00,
                             1,                             1,                4.00000000E+00,                9.46314856E+00,                1.98026273E-02,                1.03394787E-02,                1.03394787E-02,                0.00000000E+00,                1.39734354E+00,
                             1,                             2,                3.80000000E+00,                9.28550919E+00,                1.88217542E-02,                9.53624505E-03,                9.53624505E-03,                0.00000000E+00,                1.39734354E+00,
                             1,                             2,                4.00000000E+00,                9.46314856E+00,                1.98026273E-02,                1.03394787E-02,                1.03394787E-02,                0.00000000E+00,                1.39734354E+00,
