  Element nb      COORD1      COORD2         S11         S22         S33         S12         E11         E22         E33         E12
           5  1.4218E+00  1.0409E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  Element nb      COORD1      COORD2         S11         S22         S33         S12         E11         E22         E33         E12
           6  9.7986E-01  1.3385E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
           6  1.3385E+00  9.7986E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
           6  8.9653E-01  1.2247E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
           6  1.2247E+00  8.9653E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  Element nb      COORD1      COORD2         S11         S22         S33         S12         E11         E22         E33         E12
           7  8.3552E-01  1.1413E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
           7  1.1413E+00  8.3552E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
           7  7.5219E-01  1.0275E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
           7  1.0275E+00  7.5219E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  Element nb      COORD1      COORD2         S11         S22         S33         S12         E11         E22         E33         E12
           8  6.9119E-01  9.4418E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
           8  9.4418E-01  6.9119E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
           8  6.0785E-01  8.3034E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
           8  8.3034E-01  6.0785E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  Element nb      COORD1      COORD2         S11         S22         S33         S12         E11         E22         E33         E12
           9  1.7414E+00  7.6784E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
           9  1.8920E+00  2.0574E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
           9  1.6123E+00  7.1092E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
           9  1.7518E+00  1.9049E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  Element nb      COORD1      COORD2         S11         S22         S33         S12         E11         E22         E33         E12
          10  1.5178E+00  6.6926E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
          10  1.6491E+00  1.7933E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
          10  1.3888E+00  6.1234E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
          10  1.5089E+00  1.6408E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  Element nb      COORD1      COORD2         S11         S22         S33         S12         E11         E22         E33         E12
          11  1.2943E+00  5.7067E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
          11  1.4062E+00  1.5291E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
          11  1.1652E+00  5.1376E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
          11  1.2659E+00  1.3766E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  Element nb      COORD1      COORD2         S11         S22         S33         S12         E11         E22         E33         E12
          12  1.0707E+00  4.7209E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
          12  1.1633E+00  1.2650E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
          12  9.4159E-01  4.1517E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
          12  1.0230E+00  1.1124E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  Element nb      COORD1      COORD2         S11         S22         S33         S12         E11         E22         E33         E12
           1  2.0574E-01  1.8920E+00  6.3272E-01 -3.7070E-02  1.7869E-01 -1.2994E-01  5.9023E-03 -2.8049E-03  0.0000E+00 -3.3784E-03
           1  7.6784E-01  1.7414E+00  5.7780E-01  1.7848E-02  1.7869E-01 -2.2506E-01  5.1883E-03 -2.0910E-03  0.0000E+00 -5.8515E-03
           1  1.9049E-01  1.7518E+00  7.3058E-01  7.1714E-03  2.2133E-01 -1.4034E-01  6.6203E-03 -2.7840E-03  0.0000E+00 -3.6488E-03
           1  7.1092E-01  1.6123E+00  6.7127E-01  6.6486E-02  2.2133E-01 -2.4308E-01  5.8492E-03 -2.0129E-03  0.0000E+00 -6.3200E-03
  Element nb      COORD1      COORD2         S11         S22         S33         S12         E11         E22         E33         E12
           2  1.7933E-01  1.6491E+00  7.2404E-01 -1.6350E-01  1.6816E-01 -1.7218E-01  7.2265E-03 -4.3116E-03  0.0000E+00 -4.4767E-03
           2  6.6926E-01  1.5178E+00  6.5127E-01 -9.0730E-02  1.6816E-01 -2.9823E-01  6.2804E-03 -3.3656E-03  0.0000E+00 -7.7539E-03
           2  1.6408E-01  1.5089E+00  8.7461E-01 -9.5439E-02  2.3375E-01 -1.8819E-01  8.3311E-03 -4.2795E-03  0.0000E+00 -4.8929E-03
           2  6.1234E-01  1.3888E+00  7.9507E-01 -1.5902E-02  2.3375E-01 -3.2595E-01  7.2971E-03 -3.2455E-03  0.0000E+00 -8.4747E-03
  Element nb      COORD1      COORD2         S11         S22         S33         S12         E11         E22         E33         E12
           3  1.5291E-01  1.4062E+00  8.6397E-01 -3.6809E-01  1.4876E-01 -2.3902E-01  9.2977E-03 -6.7192E-03  0.0000E+00 -6.2145E-03
           3  5.7067E-01  1.2943E+00  7.6295E-01 -2.6707E-01  1.4876E-01 -4.1399E-01  7.9844E-03 -5.4059E-03  0.0000E+00 -1.0764E-02
           3  1.3766E-01  1.2659E+00  1.1131E+00 -2.5548E-01  2.5728E-01 -2.6550E-01  1.1125E-02 -6.6659E-03  0.0000E+00 -6.9030E-03
           3  5.1376E-01  1.1652E+00  1.0009E+00 -1.4327E-01  2.5728E-01 -4.5986E-01  9.6667E-03 -5.2071E-03  0.0000E+00 -1.1956E-02
  Element nb      COORD1      COORD2         S11         S22         S33         S12         E11         E22         E33         E12
           4  1.2650E-01  1.1633E+00  1.0940E+00 -7.3139E-01  1.0877E-01 -3.5411E-01  1.2807E-02 -1.0922E-02  0.0000E+00 -9.2070E-03
           4  4.7209E-01  1.0707E+00  9.4429E-01 -5.8173E-01  1.0877E-01 -6.1334E-01  1.0862E-02 -8.9765E-03  0.0000E+00 -1.5947E-02
           4  1.1124E-01  1.0230E+00  1.5507E+00 -5.2493E-01  3.0772E-01 -4.0266E-01  1.6158E-02 -1.0824E-02  0.0000E+00 -1.0469E-02
           4  4.1517E-01  9.4159E-01  1.3805E+00 -3.5475E-01  3.0772E-01 -6.9743E-01  1.3946E-02 -8.6121E-03  0.0000E+00 -1.8133E-02
  Element nb      COORD1      COORD2         S11         S22         S33         S12         E11         E22         E33         E12
           5  1.1242E+00  1.5357E+00  3.5274E-01  2.4290E-01  1.7869E-01 -3.5499E-01  2.2626E-03  8.3475E-04  0.0000E+00 -9.2298E-03
